Close Predicho,Close Real,Rendimiento
65598.15625,65663.99,-0.1002585283044865
65663.9921875,65705.69,-0.0634614939741175
65713.6015625,65752.92,-0.0597972493084691
65752.1875,65769.44,-0.0262317878941987
65784.1171875,65828.01,-0.0666780182174651
65833.4921875,65941.67,-0.1640507625906323
65941.328125,65834.0,0.1630284123705076
65836.2734375,65962.81,-0.1918301577813281
65999.1640625,65920.14,0.1198784809923046
65920.5625,65899.99,0.0312177589101223
65760.640625,65870.47,-0.1667353747437981
65870.46875,65900.41,-0.0454340875876242
65899.7109375,66234.0,-0.5047091561735664
66224.390625,66189.43,0.0528190452765751
66198.109375,66115.57,0.124841054837753
66115.5703125,66242.0,-0.1908603114338335
66240.8359375,66183.98,0.0859058906702257
66182.3203125,66146.01,0.0548941840936516
66177.625,66274.63,-0.1463682256694675
66273.8671875,66267.56,0.0095177602736577
66265.375,66261.2,0.006300821596957
66263.1640625,66256.0,0.0108126999818884
66256.0,66241.92,0.0212554225481413
66241.90625,66238.81,0.0046743744339645
66238.8828125,66210.55,0.042791990853417
66210.546875,66238.17,-0.0417027297100723
66250.8359375,66307.54,-0.0855167640060143
66307.4296875,66331.45,-0.0362125545272975
66331.453125,66150.0,0.2743055555555555
66150.0625,66141.37,0.0131423041282704
66141.375,66164.62,-0.0351320690725577
66164.484375,66060.81,0.1569377895911393
66060.8203125,66060.03,0.0011963550425289
66060.03125,66098.14,-0.057654799363491
66098.140625,66120.0,-0.0330601557773744
66125.8203125,66082.08,0.0661908833680753
66079.1796875,66019.74,0.0900332044627784
66019.796875,66070.0,-0.0759847510216437
66069.984375,66052.01,0.0272124572742074
66049.015625,66083.6,-0.0523342780962384
66083.078125,66051.05,0.0484899558750346
66040.3515625,66103.29,-0.0952122617497459
66103.2890625,66150.37,-0.0711725988834156
66156.5703125,66120.21,0.054991223560835
66120.3359375,66122.15,-0.0027435019883566
66119.078125,66130.0,-0.0165157644034477
66182.78125,66086.8,0.1452351301621459
66086.8046875,66064.42,0.0338831212020051
66064.421875,66029.99,0.0521458128344329
66029.8828125,66024.0,0.0089101122319156
66024.0,65936.99,0.1319593144909932
65936.9921875,66005.85,-0.104320772325492
66005.2890625,66010.34,-0.0076517368339513
66010.34375,66031.08,-0.0314037722842057
66031.1640625,65973.85,0.08687390913217
65973.9140625,65999.2,-0.0383124909089763
65999.203125,65921.96,0.1171735867683448
65921.984375,65927.58,-0.0084875328352743
65927.59375,65901.0,0.0403540917436761
65901.0,65900.0,0.0015174506828528
65900.015625,65868.6,0.0476943870068502
65865.5546875,65881.49,-0.0241878447193669
65881.359375,65928.58,-0.0716239072645
65928.5859375,65924.14,0.0067440204756566
65924.140625,65994.01,-0.1058722981070475
65995.921875,65966.21,0.0450410520780163
65965.640625,66010.01,-0.0672161313109856
66010.0078125,66036.65,-0.0403445473081904
66048.75,66091.97,-0.0653937233222147
66091.9296875,65275.27,1.251101201879369
65285.25,65998.0,-1.0799569683929815
65998.0,66012.5,-0.0219655368301458
66020.140625,66019.66,0.0007280028403607
66019.6875,66036.44,-0.0253685692323849
66036.421875,66096.27,-0.09054690226847
66096.8359375,65973.41,0.1870843685357426
65973.4765625,65949.72,0.0360222340595211
65938.671875,65942.27,-0.0054564773096286
65942.109375,66000.03,-0.0877584828370515
66001.6484375,65904.4,0.1475598556393895
65904.40625,65527.17,0.575694402795057
65533.55078125,65893.64,-0.5464703706609613
65889.671875,65853.88,0.0543504422214687
65852.9375,65765.78,0.1325271288502944
65765.7890625,65853.58,-0.1333123233391438
65852.8984375,65831.39,0.032672008748411
65818.7421875,65881.05,-0.0945762286727411
65889.546875,65818.0,0.1087041158953477
65818.0078125,65536.01,0.4302944480446784
65293.33203125,65848.59,-0.8432344090435293
65861.7109375,65792.7,0.1048914811217702
65792.7265625,66603.44,-1.2172245720341206
66603.4375,65895.0,1.0751005387358676
65895.3984375,65955.21,-0.0906851217667359
65953.2890625,65883.0,0.1066877077546559
65883.0,65730.0,0.2327704244637152
65730.59375,65922.0,-0.2903526136949728
65921.3046875,66031.87,-0.1674423464002993
66029.9453125,66017.85,0.0183212759882276
66022.1328125,66135.0,-0.1706618091781961
66134.6484375,66170.01,-0.0534404672146713
66169.9609375,66142.0,0.0422741034441051
66142.0078125,66162.0,-0.0302170241226081
66159.9921875,66047.99,0.169576981070877
66038.03125,66030.26,0.0117692252006962
66022.7734375,66093.2,-0.1065564422663709
66092.3828125,65933.73,0.2406246582743067
65933.9609375,65925.02,0.0135622825749554
65925.0234375,65969.0,-0.0666624664615198
65964.34375,66197.58,-0.3523334992004265
66197.5625,66216.75,-0.0289768072277784
66217.4765625,66150.19,0.1017178673258499
66144.578125,66176.63,-0.0484338277727419
66174.765625,66259.0,-0.1271289560663457
66259.0,66262.21,-0.0048443901886254
66261.984375,66141.08,0.1827977030311544
66132.828125,66256.23,-0.1862494666539221
66255.9296875,66256.76,-0.0012531740157453
66254.8671875,66383.47,-0.1937271620480236
66382.8828125,66250.98,0.1990956397928062
66246.0546875,66213.2,0.049619543384103
66213.8828125,66066.91,0.2224605517345922
66066.90625,66051.15,0.0238546187310982
66043.8203125,65955.0,0.1346680501857327
65955.0,65843.0,0.1701016053339003
65843.0,65850.28,-0.0110553819968553
65849.4453125,65805.24,0.0671759764115969
65802.15625,65756.0,0.0701932143074396
65756.0,65778.42,-0.0340841266786253
65778.421875,65922.75,-0.2189352310090219
65922.75,65943.33,-0.0312086150335473
65943.328125,66017.99,-0.1130932265584051
66019.921875,65933.31,0.1313628498250768
